,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,time
297,NoneType,True,gini,NoneType,0.35000000000000003,17,18,8,14,0.5357749462127686
298,PCA,False,entropy,NoneType,0.05,2,2,512,14,12.234730243682861
299,PCA,False,entropy,NoneType,0.45,9,11,512,14,67.63879704475403
300,NoneType,True,entropy,12,0.45,20,8,64,14,4.52490496635437
301,NoneType,True,entropy,9,0.05,16,3,256,14,2.6375174522399902
302,PCA,True,gini,12,0.05,20,14,8,14,0.8356842994689941
303,NoneType,False,gini,9,0.05,4,2,16,14,0.5339226722717285
304,PCA,False,gini,11,0.25,1,18,512,14,11.751072883605957
305,PCA,False,entropy,10,0.25,1,20,32,14,3.5226385593414307
306,PCA,False,entropy,12,0.45,4,19,8,14,1.8216466903686523
307,PCA,False,gini,12,0.25,15,12,256,14,5.325463771820068
308,NoneType,False,entropy,12,0.45,4,5,128,14,18.14843463897705
309,NoneType,False,entropy,11,0.05,2,6,64,14,1.5155029296875
310,NoneType,False,gini,9,0.45,3,13,512,14,17.965757369995117
311,PCA,False,entropy,11,0.45,17,7,8,14,1.8084526062011719
312,PCA,False,entropy,NoneType,0.05,17,10,256,14,5.371449708938599
313,PCA,True,entropy,10,0.45,9,15,256,14,20.03721594810486
314,NoneType,True,gini,8,0.35000000000000003,2,17,16,14,0.5970983505249023
315,PCA,False,gini,8,0.25,17,19,8,14,1.056628704071045
316,NoneType,True,entropy,9,0.25,14,4,8,14,0.7261142730712891
317,PCA,True,entropy,11,0.35000000000000003,6,9,512,14,32.889108419418335
318,PCA,True,entropy,12,0.2,3,8,512,14,22.4848051071167
319,NoneType,True,gini,12,0.2,8,18,8,14,0.521705150604248
320,PCA,True,entropy,11,0.3,18,2,64,14,3.8209359645843506
321,PCA,True,entropy,9,0.2,3,16,256,14,11.33345627784729
322,NoneType,False,gini,NoneType,0.4,12,5,32,14,1.300736665725708
323,NoneType,False,entropy,NoneType,0.35000000000000003,11,4,8,14,1.2258796691894531
324,PCA,False,entropy,9,0.15000000000000002,3,12,32,14,2.5400707721710205
325,NoneType,False,gini,NoneType,0.15000000000000002,7,2,32,14,0.9405481815338135
326,PCA,False,entropy,8,0.35000000000000003,16,7,512,14,48.926613092422485
327,PCA,True,gini,NoneType,0.35000000000000003,15,20,16,14,0.9504523277282715
328,NoneType,False,entropy,NoneType,0.25,20,9,128,14,9.044763803482056
329,PCA,True,entropy,11,0.15000000000000002,7,16,512,14,16.645389795303345
330,NoneType,True,entropy,NoneType,0.4,15,2,128,14,8.259069204330444
331,PCA,True,entropy,NoneType,0.15000000000000002,8,3,16,14,1.3277180194854736
332,PCA,False,gini,11,0.15000000000000002,5,3,512,14,7.520910024642944
333,PCA,True,entropy,8,0.2,11,4,16,14,1.4186060428619385
334,NoneType,True,gini,8,0.4,7,14,16,14,0.7123098373413086
335,PCA,False,entropy,NoneType,0.4,15,8,8,14,1.7304353713989258
336,NoneType,True,entropy,NoneType,0.45,19,15,8,14,0.9354126453399658
337,PCA,False,entropy,10,0.3,15,2,16,14,2.2410271167755127
338,NoneType,False,entropy,11,0.4,10,17,256,14,29.47346806526184
339,NoneType,True,entropy,10,0.05,20,13,16,14,0.6402275562286377
340,NoneType,True,gini,NoneType,0.15000000000000002,11,15,32,14,0.6339638233184814
341,NoneType,False,entropy,10,0.25,10,17,64,14,5.15383505821228
342,PCA,False,entropy,9,0.2,13,18,256,14,16.526418924331665
343,NoneType,True,entropy,12,0.4,2,9,256,14,19.223525524139404
344,NoneType,True,entropy,NoneType,0.4,6,18,512,14,35.96144247055054
345,PCA,False,entropy,10,0.05,5,6,8,14,0.9543352127075195
346,PCA,False,entropy,9,0.4,16,8,512,14,55.707834005355835
347,NoneType,False,entropy,9,0.1,3,7,32,14,1.5441739559173584
348,PCA,False,entropy,10,0.45,20,4,8,14,1.8194286823272705
349,NoneType,False,entropy,9,0.35000000000000003,17,13,32,14,3.304403781890869
350,NoneType,True,gini,10,0.05,18,19,256,14,1.2472739219665527
351,PCA,False,entropy,9,0.1,14,3,256,14,9.240179061889648
352,PCA,False,gini,9,0.3,13,7,64,14,2.2381389141082764
353,NoneType,False,entropy,12,0.45,20,18,8,14,1.3302724361419678
354,PCA,True,entropy,11,0.4,12,17,64,14,5.04665994644165
355,PCA,True,entropy,9,0.25,20,5,512,14,21.27123236656189
356,NoneType,False,gini,12,0.2,18,11,32,14,0.8124957084655762
357,PCA,False,gini,8,0.25,17,19,8,14,1.027646780014038
358,PCA,True,entropy,NoneType,0.45,3,20,32,14,3.494769811630249
359,NoneType,True,entropy,9,0.25,14,4,8,14,0.7262604236602783
360,PCA,True,gini,12,0.45,4,4,16,14,1.2001469135284424
361,PCA,True,entropy,12,0.45,8,14,128,14,10.624781131744385
362,PCA,False,gini,12,0.35000000000000003,1,17,512,14,15.515970230102539
363,NoneType,False,entropy,NoneType,0.1,6,20,256,14,8.60142183303833
364,NoneType,True,entropy,12,0.2,8,19,128,14,5.09191370010376
365,PCA,True,gini,11,0.4,1,18,128,14,3.3067610263824463
366,NoneType,False,gini,8,0.45,1,8,512,14,17.335074186325073
367,NoneType,False,entropy,12,0.05,4,20,512,14,8.917471885681152
368,PCA,False,entropy,NoneType,0.25,7,20,256,14,21.321497678756714
369,PCA,False,gini,NoneType,0.1,1,17,256,14,3.3921058177948
370,NoneType,False,entropy,NoneType,0.45,20,18,512,14,59.682740449905396
371,NoneType,False,gini,NoneType,0.4,1,5,256,14,10.00524616241455
372,NoneType,False,gini,12,0.05,4,20,16,14,0.3874988555908203
373,NoneType,True,entropy,11,0.4,3,3,512,14,37.758933544158936
